Symbol,Year,Month,Open,High,Low,Close,Volume
CORFICOLCF.CL,2021,1,30421.650390625,30891.119140625,29304.310546875,30252.640625,1407327
CORFICOLCF.CL,2021,2,30252.640625,30881.73046875,29952.1796875,30553.1015625,1215264
CORFICOLCF.CL,2021,3,30553.1015625,30891.119140625,29201.02734375,30731.5,1838503
CORFICOLCF.CL,2021,4,30731.5,30834.783203125,30046.07421875,30064.853515625,1422107
CORFICOLCF.CL,2021,5,29717.4453125,33250.0,27110.0,28230.0,1318605
CORFICOLCF.CL,2021,6,28280.0,30890.0,28000.0,29200.0,1191225
CORFICOLCF.CL,2021,7,29300.0,30470.0,29000.0,29280.0,1339355
CORFICOLCF.CL,2021,8,28830.0,30200.0,28000.0,28560.0,3119458
CORFICOLCF.CL,2021,9,28890.0,29300.0,28300.0,28800.0,5514476
CORFICOLCF.CL,2021,10,29000.0,29900.0,28710.0,29670.0,2898008
CORFICOLCF.CL,2021,11,29670.0,29990.0,27980.0,28780.0,1907563
CORFICOLCF.CL,2021,12,28550.0,29200.0,27800.0,28600.0,751174
CORFICOLCF.CL,2022,1,28830.0,30490.0,28200.0,29770.0,914248
CORFICOLCF.CL,2022,2,29420.0,29700.0,27110.0,27700.0,827478
CORFICOLCF.CL,2022,3,27800.0,28480.0,27180.0,28080.0,5549444265
CORFICOLCF.CL,2022,4,27970.0,29510.0,27810.0,29140.0,1789259
CORFICOLCF.CL,2022,5,29170.0,29170.0,22700.0,25600.0,794946
CORFICOLCF.CL,2022,6,25900.0,26000.0,20500.0,20500.0,1200525
CORFICOLCF.CL,2022,7,20780.0,21600.0,18800.0,19600.0,784557
CORFICOLCF.CL,2022,8,19270.0,20300.0,18500.0,19500.0,1522119
CORFICOLCF.CL,2022,9,19500.0,19780.0,16410.0,16700.0,686568
CORFICOLCF.CL,2022,10,17100.0,18270.0,15480.0,16100.0,977816
CORFICOLCF.CL,2022,11,16000.0,17000.0,14900.0,15820.0,1448121806
CORFICOLCF.CL,2022,12,15820.0,16170.0,14330.0,15000.0,836061
CORFICOLCF.CL,2023,1,15318.16015625,17500.0,15000.0,16000.0,837900
CORFICOLCF.CL,2023,2,16320.0,16320.0,10200.0,10500.0,3941795
CORFICOLCF.CL,2023,3,10550.0,12200.0,10550.0,11480.0,2608762
CORFICOLCF.CL,2023,4,11480.0,13660.0,11450.0,13290.0,1243869
CORFICOLCF.CL,2023,5,13290.0,14400.0,12580.0,14400.0,1978552
CORFICOLCF.CL,2023,6,14000.0,15500.0,14000.0,14850.0,806371
CORFICOLCF.CL,2023,7,14850.0,15950.0,14650.0,15490.0,394834
CORFICOLCF.CL,2023,8,15360.0,15780.0,11750.0,11750.0,408309322
CORFICOLCF.CL,2023,9,11900.0,13750.0,11000.0,13750.0,1769979
CORFICOLCF.CL,2023,10,13250.0,13750.0,12620.0,12620.0,267807
